Ontology ID,Replacement Term,Obsolete
ID,AI http://purl.obolibrary.org/obo/IAO_0100001,AT owl:deprecated^^xsd:boolean
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000214,http://purl.obolibrary.org/obo/ZECO_0000214,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000215,http://purl.obolibrary.org/obo/ZECO_0000215,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000216,http://purl.obolibrary.org/obo/ZECO_0000216,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000217,http://purl.obolibrary.org/obo/ZECO_0000217,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000218,http://purl.obolibrary.org/obo/ZECO_0000218,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000219,http://purl.obolibrary.org/obo/ZECO_0000219,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000220,http://purl.obolibrary.org/obo/ZECO_0000220,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000221,http://purl.obolibrary.org/obo/ZECO_0000221,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000222,http://purl.obolibrary.org/obo/ZECO_0000222,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000223,http://purl.obolibrary.org/obo/ZECO_0000223,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000224,http://purl.obolibrary.org/obo/ZECO_0000224,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000225,http://purl.obolibrary.org/obo/ZECO_0000225,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000226,http://purl.obolibrary.org/obo/ZECO_0000226,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000227,http://purl.obolibrary.org/obo/ZECO_0000227,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000228,http://purl.obolibrary.org/obo/ZECO_0000228,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000229,http://purl.obolibrary.org/obo/ZECO_0000229,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000230,http://purl.obolibrary.org/obo/ZECO_0000230,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000231,http://purl.obolibrary.org/obo/ZECO_0000231,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000232,http://purl.obolibrary.org/obo/ZECO_0000232,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000233,http://purl.obolibrary.org/obo/ZECO_0000233,1
